Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Unarmed Robbery,Johor,2018,330,8.63
Unarmed Robbery,Kedah,2018,169,7.66
Unarmed Robbery,Kelantan,2018,71,3.77
Unarmed Robbery,Kuala Lumpur,2018,1124,57.01
Unarmed Robbery,Melaka,2018,183,19.58
Unarmed Robbery,Negeri Sembilan,2018,187,16.39
Unarmed Robbery,Pahang,2018,90,5.29
Unarmed Robbery,Perak,2018,142,5.53
Unarmed Robbery,Perlis,2018,33,12.74
Unarmed Robbery,Penang,2018,200,11.32
Unarmed Robbery,Sabah,2018,77,1.92
Unarmed Robbery,Sarawak,2018,88,3.11
Unarmed Robbery,Selangor,2018,952,14.63
Unarmed Robbery,Terengganu,2018,42,3.37
