Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Motorcycle Theft,Johor,2017,4104,108.85
Motorcycle Theft,Kedah,2017,2846,130.84
Motorcycle Theft,Kelantan,2017,1983,107.34
Motorcycle Theft,Kuala Lumpur,2017,3328,170.36
Motorcycle Theft,Melaka,2017,1101,119.49
Motorcycle Theft,Negeri Sembilan,2017,839,74.31
Motorcycle Theft,Pahang,2017,1173,69.86
Motorcycle Theft,Perak,2017,1912,75.04
Motorcycle Theft,Perlis,2017,186,72.54
Motorcycle Theft,Penang,2017,2322,132.94
Motorcycle Theft,Sabah,2017,666,16.85
Motorcycle Theft,Sarawak,2017,2258,80.95
Motorcycle Theft,Selangor,2017,7945,124.12
Motorcycle Theft,Terengganu,2017,914,74.82
