Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Drug addicts,Johor,2019,2371,61.19
Drug addicts,Kedah,2019,3582,160.15
Drug addicts,Kelantan,2019,2998,156.0
Drug addicts,Kuala Lumpur,2019,1066,53.6
Drug addicts,Melaka,2019,819,86.44
Drug addicts,Negeri Sembilan,2019,1244,107.99
Drug addicts,Pahang,2019,1672,96.85
Drug addicts,Perak,2019,2046,78.97
Drug addicts,Perlis,2019,316,120.61
Drug addicts,Penang,2019,2893,161.89
Drug addicts,Sabah,2019,1713,41.93
Drug addicts,Sarawak,2019,852,29.7
Drug addicts,Selangor,2019,2385,36.05
Drug addicts,Terengganu,2019,2123,167.22
