Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Unarmed Group Robbery,Johor,2017,1220,32.36
Unarmed Group Robbery,Kedah,2017,333,15.31
Unarmed Group Robbery,Kelantan,2017,141,7.63
Unarmed Group Robbery,Kuala Lumpur,2017,1984,101.56
Unarmed Group Robbery,Melaka,2017,349,37.88
Unarmed Group Robbery,Melaka,2017,240,26.05
Unarmed Group Robbery,Negeri Sembilan,2017,392,34.72
Unarmed Group Robbery,Pahang,2017,201,11.97
Unarmed Group Robbery,Perak,2017,426,16.72
Unarmed Group Robbery,Perlis,2017,25,9.75
Unarmed Group Robbery,Penang,2017,481,27.54
Unarmed Group Robbery,Sabah,2017,163,4.12
Unarmed Group Robbery,Sarawak,2017,238,8.53
Unarmed Group Robbery,Selangor,2017,3747,58.54
Unarmed Group Robbery,Terengganu,2017,79,6.47
