Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Car Theft,Johor,2017,1097,29.1
Car Theft,Kedah,2017,378,17.38
Car Theft,Kelantan,2017,722,39.08
Car Theft,Kuala Lumpur,2017,1548,79.24
Car Theft,Melaka,2017,112,12.16
Car Theft,Negeri Sembilan,2017,170,15.06
Car Theft,Pahang,2017,216,12.86
Car Theft,Perak,2017,321,12.6
Car Theft,Perlis,2017,11,4.29
Car Theft,Penang,2017,357,20.44
Car Theft,Sabah,2017,244,6.17
Car Theft,Sarawak,2017,574,20.58
Car Theft,Selangor,2017,2586,40.4
Car Theft,Terengganu,2017,146,11.95
