Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Van/Lorry Theft,Sabah,2019,81,1.98
House break-ins,Sabah,2019,1806,44.21
Drug addicts,Sabah,2019,1713,41.93
Murder,Sarawak,2019,27,0.94
Rape,Sarawak,2019,149,5.19
Armed Group Robbery,Sarawak,2019,4,0.14
Unarmed Group Robbery,Sarawak,2019,244,8.51
Armed Robbery,Sarawak,2019,0,0
Unarmed Robbery,Sarawak,2019,139,4.85
Harming,Sarawak,2019,335,11.68
Theft ( Others ),Sarawak,2019,1644,57.31
Car Theft,Sarawak,2019,404,14.08
Motorcycle Theft,Sarawak,2019,1393,48.56
Van/Lorry Theft,Sarawak,2019,61,2.13
House break-ins,Sarawak,2019,1623,56.58
Drug addicts,Sarawak,2019,852,29.7
Murder,Selangor,2019,90,1.36
Rape,Selangor,2019,346,5.23
Armed Group Robbery,Selangor,2019,2,0.03
Unarmed Group Robbery,Selangor,2019,1982,29.97
Armed Robbery,Selangor,2019,4,0.06
Unarmed Robbery,Selangor,2019,922,13.94
Harming,Selangor,2019,960,14.51
Theft ( Others ),Selangor,2019,3519,53.2
Car Theft,Selangor,2019,2204,33.32
Motorcycle Theft,Selangor,2019,5503,83.2
Van/Lorry Theft,Selangor,2019,595,9
House break-ins,Selangor,2019,3679,55.62
Drug addicts,Selangor,2019,2385,36.05
Murder,Terengganu,2019,1,0.08
Rape,Terengganu,2019,80,6.3
Armed Group Robbery,Terengganu,2019,0,0
Unarmed Group Robbery,Terengganu,2019,50,3.94
Armed Robbery,Terengganu,2019,0,0
Unarmed Robbery,Terengganu,2019,44,3.47
Harming,Terengganu,2019,118,9.29
Theft ( Others ),Terengganu,2019,524,41.27
Car Theft,Terengganu,2019,78,6.14
Motorcycle Theft,Terengganu,2019,466,36.7
Van/Lorry Theft,Terengganu,2019,13,1.02
House break-ins,Terengganu,2019,496,39.07
Drug addicts,Terengganu,2019,2123,167.22
