Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Van/Lorry Theft,Johor,2018,278,7.27
Van/Lorry Theft,Kedah,2018,56,2.54
Van/Lorry Theft,Kelantan,2018,64,3.4
Van/Lorry Theft,Kuala Lumpur,2018,253,12.83
Van/Lorry Theft,Melaka,2018,20,2.14
Van/Lorry Theft,Negeri Sembilan,2018,60,5.26
Van/Lorry Theft,Pahang,2018,60,3.52
Van/Lorry Theft,Perak,2018,101,3.93
Van/Lorry Theft,Perlis,2018,2,0.77
Van/Lorry Theft,Penang,2018,76,4.3
Van/Lorry Theft,Sabah,2018,74,1.84
Van/Lorry Theft,Sarawak,2018,53,1.87
Van/Lorry Theft,Selangor,2018,654,10.05
Van/Lorry Theft,Terengganu,2018,10,0.8
